id,name,country_id,offset,timezone_code
1,Africa/Abidjan,53,+00:00,GMT
2,Africa/Accra,83,+00:00,GMT
3,Africa/Addis_Ababa,69,+03:00,EAT
4,Africa/Algiers,3,+01:00,CET
5,Africa/Asmara,67,+03:00,EAT
6,Africa/Asmera,67,+03:00,EAT
7,Africa/Bamako,134,+00:00,GMT
8,Africa/Bangui,41,+01:00,WAT
9,Africa/Banjul,80,+00:00,GMT
10,Africa/Bissau,93,+00:00,GMT
11,Africa/Blantyre,131,+02:00,CAT
12,Africa/Brazzaville,49,+01:00,WAT
13,Africa/Bujumbura,35,+02:00,CAT
14,Africa/Cairo,64,+03:00,EEST
15,Africa/Casablanca,148,+01:00,WET
16,Africa/Ceuta,205,+02:00,CEST
17,Africa/Conakry,92,+00:00,GMT
18,Africa/Dakar,192,+00:00,GMT
19,Africa/Dar_es_Salaam,216,+03:00,EAT
20,Africa/Djibouti,59,+03:00,EAT
21,Africa/Douala,37,+01:00,WAT
22,Africa/El_Aaiun,242,+01:00,WET
23,Africa/Freetown,195,+00:00,GMT
24,Africa/Gaborone,28,+02:00,CAT
25,Africa/Harare,246,+02:00,CAT
26,Africa/Johannesburg,202,+02:00,SAST
27,Africa/Juba,204,+02:00,CAT
28,Africa/Kampala,227,+03:00,EAT
29,Africa/Khartoum,207,+02:00,CAT
30,Africa/Kigali,182,+02:00,CAT
31,Africa/Kinshasa,50,+01:00,WAT
32,Africa/Lagos,160,+01:00,WAT
33,Africa/Libreville,79,+01:00,WAT
34,Africa/Lome,218,+00:00,GMT
35,Africa/Luanda,6,+01:00,WAT
36,Africa/Lubumbashi,50,+02:00,CAT
37,Africa/Lusaka,245,+02:00,CAT
38,Africa/Malabo,66,+01:00,WAT
39,Africa/Maputo,149,+02:00,CAT
40,Africa/Maseru,122,+02:00,SAST
42,Africa/Mogadishu,201,+03:00,EAT
43,Africa/Monrovia,123,+00:00,GMT
44,Africa/Nairobi,113,+03:00,EAT
45,Africa/Ndjamena,42,+01:00,WAT
46,Africa/Niamey,159,+01:00,WAT
47,Africa/Nouakchott,139,+00:00,GMT
48,Africa/Ouagadougou,34,+00:00,GMT
49,Africa/Porto-Novo,23,+01:00,WAT
50,Africa/Sao_Tome,190,+00:00,GMT
51,Africa/Timbuktu,134,+00:00,GMT
52,Africa/Tripoli,124,+02:00,EET
53,Africa/Tunis,222,+01:00,CET
54,Africa/Windhoek,151,+02:00,CAT
55,America/Adak,231,-09:00,HDT
56,America/Anchorage,231,-08:00,AKDT
57,America/Anguilla,7,-04:00,AST
58,America/Antigua,9,-04:00,AST
59,America/Araguaina,30,-03:00,BRT
60,America/Argentina/Buenos_Aires  10  Argentina,10,+00:00,
61,America/Argentina/Catamarca,10,-03:00,ART
62,America/Argentina/ComodRivadavia,10,-03:00,ART
63,America/Argentina/Cordoba,10,-03:00,ART
64,America/Argentina/Jujuy,10,-03:00,ART
65,America/Argentina/La_Rioja,10,-03:00,ART
66,America/Argentina/Mendoza,10,-03:00,ART
67,America/Argentina/Rio_Gallegos,10,-03:00,ART
68,America/Argentina/Salta,10,-03:00,ART
69,America/Argentina/San_Juan,10,-03:00,ART
70,America/Argentina/San_Luis,10,-03:00,ART
71,America/Argentina/Tucuman,10,-03:00,ART
72,America/Argentina/Ushuaia,10,-03:00,ART
73,America/Aruba,12,-04:00,AST
74,America/Asuncion,171,-04:00,PYT
75,America/Atikokan,38,-05:00,EST
76,America/Atka,231,-09:00,HDT
77,America/Bahia,30,-03:00,BRT
78,America/Bahia_Banderas,142,-06:00,CST
79,America/Barbados,19,-04:00,AST
80,America/Belem,30,-03:00,BRT
81,America/Belize,22,-06:00,CST
82,America/Blanc-Sablon,38,-04:00,AST
83,America/Boa_Vista,30,-04:00,AMT
84,America/Bogota,47,-05:00,COT
85,America/Boise,231,-06:00,MDT
86,America/Buenos_Aires,10,-03:00,ART
87,America/Bahia,30,-03:00,BRT
88,America/Bahia_Banderas,142,-06:00,CST
89,America/Barbados,19,-04:00,AST
90,America/Belem,30,-03:00,BRT
91,America/Belize,22,-06:00,CST
92,America/Blanc-Sablon,38,-04:00,AST
93,America/Boa_Vista,30,-04:00,AMT
94,America/Bogota,47,-05:00,COT
95,America/Boise,231,-06:00,MDT
96,America/Buenos_Aires,10,-03:00,ART
97,America/Cambridge_Bay,38,-06:00,MDT
98,America/Campo_Grande,30,-04:00,AMT
99,America/Cancun,142,-05:00,EST
100,America/Caracas,237,-04:00,VET
101,America/Catamarca,10,-03:00,ART
102,America/Cayenne,76,-03:00,GFT
103,America/Cayman,40,-05:00,EST
104,America/Chicago,231,-05:00,CDT
105,America/Chihuahua,142,-06:00,CST
106,America/Coral_Harbour,16,-05:00,EST
107,America/Cordoba,10,-03:00,ART
108,America/Costa_Rica,52,-06:00,CST
109,America/Creston,38,-07:00,MST
110,America/Cuiaba,30,-04:00,AMT
111,America/Curacao,154,-04:00,AST
112,America/Danmarkshavn,86,+00:00,GMT
113,America/Dawson,38,-07:00,MST
114,America/Dawson_Creek,38,-07:00,MST
115,America/Denver,231,-06:00,MDT
116,America/Detroit,231,-04:00,EDT
117,America/Dominica,60,-04:00,AST
118,America/Edmonton,38,-06:00,MDT
119,America/Eirunepe,30,-05:00,AMT
120,America/El_Salvador,65,-06:00,CST
121,America/Ensenada,142,-07:00,PDT
122,America/Fort_Nelson,38,-07:00,MST
123,America/Fort_Wayne,231,-04:00,EDT
124,America/Fortaleza,30,-03:00,BRT
125,America/Glace_Bay,38,-03:00,ADT
126,America/Godthab,86,-02:00,WGT
127,America/Goose_Bay,38,-03:00,ADT
128,America/Grand_Turk,225,-04:00,EDT
129,America/Grenada,87,-04:00,AST
130,America/Guadeloupe,88,-04:00,AST
131,America/Guatemala,90,-06:00,CST
132,America/Guayaquil,63,-05:00,ECT
133,America/Guyana,94,-04:00,GYT
134,America/Halifax,38,-03:00,ADT
135,America/Havana,55,-04:00,CDT
136,America/Hermosillo,142,-07:00,MST
137,America/Indiana/Indianapolis,231,-04:00,EDT
138,America/Indiana/Knox,231,-05:00,CDT
139,America/Indiana/Marengo,231,-04:00,EDT
140,America/Indiana/Petersburg,231,-04:00,EDT
141,America/Indiana/Tell_City,231,-05:00,CDT
142,America/Indiana/Vevay,231,-04:00,EDT
143,America/Indiana/Vincennes,231,-04:00,EDT
144,America/Indiana/Winamac,231,-04:00,EDT
145,America/Inuvik,38,-06:00,MDT
146,America/Iqaluit,38,-04:00,EDT
