id,name,country_id,UTC+00:00,UTC
1,Africa/Abidjan,53,UTC+00:00,GMT
2,Africa/Accra,83,UTC+00:00,GMT
3,Africa/Addis_Ababa,69,UTC+03:00,EAT
4,Africa/Algiers,3,UTC+01:00,CET
5,Africa/Asmara,67,UTC+03:00,EAT
6,Africa/Asmera,67,UTC+03:00,EAT
7,Africa/Bamako,134,UTC+00:00,GMT
8,Africa/Bangui,41,UTC+01:00,WAT
9,Africa/Banjul,80,UTC+00:00,GMT
10,Africa/Bissau,93,UTC+00:00,GMT
11,Africa/Blantyre,131,UTC+02:00,CAT
12,Africa/Brazzaville,49,UTC+01:00,WAT
13,Africa/Bujumbura,35,UTC+02:00,CAT
14,Africa/Cairo,64,UTC+03:00,EEST
15,Africa/Casablanca,148,UTC+01:00,+01
16,Africa/Ceuta,205,UTC+02:00,CEST
17,Africa/Conakry,92,UTC+00:00,GMT
18,Africa/Dakar,192,UTC+00:00,GMT
19,Africa/Dar_es_Salaam,216,UTC+03:00,EAT
20,Africa/Djibouti,59,UTC+03:00,EAT
21,Africa/Douala,37,UTC+01:00,WAT
22,Africa/El_Aaiun,242,UTC+01:00,+01
23,Africa/Freetown,195,UTC+00:00,GMT
24,Africa/Gaborone,28,UTC+02:00,CAT
25,Africa/Harare,246,UTC+02:00,CAT
26,Africa/Johannesburg,202,UTC+02:00,SAST
27,Africa/Juba,204,UTC+02:00,CAT
28,Africa/Kampala,227,UTC+03:00,EAT
29,Africa/Khartoum,207,UTC+02:00,CAT
30,Africa/Kigali,182,UTC+02:00,CAT
31,Africa/Kinshasa,50,UTC+01:00,WAT
32,Africa/Lagos,160,UTC+01:00,WAT
33,Africa/Libreville,79,UTC+01:00,WAT
34,Africa/Lome,218,UTC+00:00,GMT
35,Africa/Luanda,6,UTC+01:00,WAT
36,Africa/Lubumbashi,50,UTC+02:00,CAT
37,Africa/Lusaka,245,UTC+02:00,CAT
38,Africa/Malabo,66,UTC+01:00,WAT
39,Africa/Maputo,149,UTC+02:00,CAT
40,Africa/Maseru,122,UTC+02:00,SAST
42,Africa/Mogadishu,201,UTC+03:00,EAT
43,Africa/Monrovia,123,UTC+00:00,GMT
44,Africa/Nairobi,113,UTC+03:00,EAT
45,Africa/Ndjamena,42,UTC+01:00,WAT
46,Africa/Niamey,159,UTC+01:00,WAT
47,Africa/Nouakchott,139,UTC+00:00,GMT
48,Africa/Ouagadougou,34,UTC+00:00,GMT
49,Africa/Porto-Novo,23,UTC+01:00,WAT
50,Africa/Sao_Tome,190,UTC+00:00,GMT
51,Africa/Timbuktu,134,UTC+00:00,GMT
52,Africa/Tripoli,124,UTC+02:00,EET
53,Africa/Tunis,222,UTC+01:00,CET
54,Africa/Windhoek,151,UTC+02:00,CAT
55,America/Adak,231,UTC-09:00,HDT
56,America/Anchorage,231,UTC-08:00,AKDT
57,America/Anguilla,7,UTC-04:00,AST
58,America/Antigua,9,UTC-04:00,AST
59,America/Araguaina,30,UTC-03:00,-03
60,America/Argentina/Buenos_Aires  10  Argentina,10,UTC+00:00,UTC
61,America/Argentina/Catamarca,10,UTC-03:00,-03
62,America/Argentina/ComodRivadavia,10,UTC-03:00,-03
63,America/Argentina/Cordoba,10,UTC-03:00,-03
